id,label,type,description,code,topic_number,concept_num,objective_code
term:adeles,Adeles,term,"The adele ring $\mathbb{A}_K$ of a number field $K$ is the restricted product of all completions $K_v$ (archimedean and non-archimedean), encoding local-global arithmetic simultaneously. It is a locally compact topological ring central to modern number theory and automorphic forms.",,,,
term:algebraic-k-theory,Algebraic K-theory,term,"Algebraic K-theory assigns a sequence of abelian groups $K_n(R)$ to a ring $R$, generalising classical invariants such as the Grothendieck group $K_0$ and the Whitehead group $K_1$. It connects algebraic topology, number theory, and geometric topology via trace maps and assembly maps.",,,,
term:algebraic-topology,Algebraic topology,term,"Algebraic topology studies topological spaces by associating algebraic invariants — groups, rings, modules — that are preserved under homeomorphism or homotopy equivalence. Core tools include homology, cohomology, homotopy groups, and spectral sequences.",,,,
term:amenable-group,Amenable group,term,"A locally compact group $G$ is amenable if it admits a left-invariant mean on $L^\infty(G)$, equivalently if it satisfies the Følner condition. Amenability governs fixed-point properties, operator-algebraic approximation, and the Baum–Connes conjecture.",,,,
term:assembly-map,Assembly map,term,The assembly map $\mu\colon K_*^G(\underline{E}G) \to K_*(C^*_r G)$ relates the equivariant K-homology of the classifying space for proper actions to the K-theory of the reduced group C*-algebra. It is the central object in the Baum–Connes and Farrell–Jones conjectures.,,,,
term:atiyah-singer-index-theorem,Atiyah–Singer index theorem,term,"The Atiyah–Singer index theorem equates the analytical index of an elliptic differential operator $D$ on a compact manifold with a topological index computed from characteristic classes. It unifies the Gauss–Bonnet theorem, Hirzebruch signature theorem, and Riemann–Roch theorem as special cases.",,,,
term:automorphic-form,Automorphic form,term,An automorphic form is a smooth function on $G(\mathbb{A})$ (for a reductive group $G$ over a number field) that is left $G(K)$-invariant and satisfies growth and Hecke-equivariance conditions. Classical modular forms are the $GL_2$ case; the Langlands programme organises automorphic forms for gener…,,,,
term:baum-connes-conjecture,Baum–Connes conjecture,term,The Baum–Connes conjecture asserts that the assembly map $\mu\colon K_*^G(\underline{E}G) \to K_*(C^*_r G)$ is an isomorphism for every locally compact group $G$. It implies the Novikov conjecture and the Kadison–Kaplansky idempotent conjecture as consequences.,,,,
term:bers-embedding,Bers embedding,term,"The Bers embedding realises the Teichmüller space $\mathcal{T}(S)$ as a bounded domain in the space of holomorphic quadratic differentials on the Riemann surface $\bar S$, providing a complex-analytic structure on $\mathcal{T}(S)$. It is a key tool in the complex geometry of moduli spaces of Riemann…",,,,
term:bmo,BMO (Bounded Mean Oscillation),term,"A function $f \in BMO(\mathbb{R}^n)$ if $\sup_Q \frac{1}{|Q|}\int_Q |f - f_Q|\,dx < \infty$ over all cubes $Q$. BMO is the natural endpoint space for Calderón–Zygmund operators and is dual to the Hardy space $H^1$.",,,,
term:borel-conjecture,Borel conjecture,term,The Borel conjecture states that two closed aspherical manifolds with isomorphic fundamental groups are homeomorphic. It follows from the Farrell–Jones conjecture and is an analogue of Mostow rigidity for non-positively curved manifolds.,,,,
term:bps-state,BPS state,term,"BPS states are field-theory or string-theory states that saturate the Bogomolny–Prasad–Sommerfield bound, preserving a fraction of supersymmetry. Their counts are related to Donaldson–Thomas invariants and motivic generating series in enumerative geometry.",,,,
term:brownian-motion,Brownian motion,term,"Brownian motion $\{B_t\}_{t\ge 0}$ is the canonical continuous-path Gaussian process with independent stationary increments $B_t - B_s \sim \mathcal{N}(0,t-s)$. It underpins stochastic calculus, parabolic PDEs via the Feynman–Kac formula, and the continuum limits of random discrete structures.",,,,
term:calderon-zygmund-theory,Calderón–Zygmund theory,term,"Calderón–Zygmund theory provides $L^p$ boundedness ($`1 < p < \infty`$) and weak-type $(1,1)$ estimates for singular integral operators of the form $Tf(x) = \int K(x,y)f(y)\,dy$ with kernel satisfying size and smoothness conditions. It is the backbone of modern harmonic analysis and elliptic PDE reg…",,,,
term:cap-product,Cap product,term,The cap product $\frown\colon H^p(X;R)\otimes H_n(X;R)\to H_{n-p}(X;R)$ pairs a cohomology class with a homology class to yield a lower-dimensional homology class. It is used to formulate Poincaré duality and appears naturally in assembly-map constructions.,,,,
term:characteristic-class,Characteristic class,term,"Characteristic classes are cohomological invariants of vector bundles: Chern classes $c_i(E)\in H^{2i}(X;\mathbb{Z})$, Pontryagin classes $p_i(E)\in H^{4i}(X;\mathbb{Z})$, and the Euler class. They appear in the Atiyah–Singer index theorem and in the study of manifold topology.",,,,
term:classifying-space,Classifying space,term,"The classifying space $BG$ of a topological group $G$ is the base of the universal principal $G$-bundle $EG \to BG$; homotopy classes of maps $X \to BG$ classify principal $G$-bundles over $X$. For discrete groups, $BG = K(G,1)$ is an Eilenberg–Mac Lane space with $\pi_1 = G$.",,,,
term:cobordism,Cobordism,term,"Two closed $n$-manifolds $M$, $N$ are cobordant if there exists a compact $(n+1)$-manifold $W$ with $\partial W = M \sqcup N$. Cobordism rings, both oriented and unoriented, are computed by Thom's theorem and play a role in surgery theory and topological field theories.",,,,
term:cohomological-dimension,Cohomological dimension,term,The cohomological dimension $\mathrm{cd}(G)$ of a group $G$ is the smallest $n$ such that $H^k(G;M)=0$ for all $k>n$ and all $G$-modules $M$. It bounds the geometric dimension of the classifying space $BG$ and features in finiteness conditions for groups.,,,,
term:coarse-geometry,Coarse geometry,term,"Coarse geometry studies metric spaces up to quasi-isometry and large-scale equivalence, ignoring local structure. The coarse Baum–Connes conjecture, formulated in this setting, implies injectivity of the assembly map for groups with finite asymptotic dimension.",,,,
term:conformal-field-theory,Conformal field theory,term,"A conformal field theory (CFT) is a quantum field theory invariant under conformal transformations (angle-preserving maps). In two dimensions, the infinite-dimensional Virasoro algebra governs the structure; CFTs arise in string theory, statistical mechanics at criticality, and via the AdS/CFT corre…",,,,
term:continuum-limit,Continuum limit,term,"A continuum limit is the process of taking a sequence of discrete models (lattice, graph, combinatorial structure) whose mesh size tends to zero and extracting a limiting continuous object. In probability, Brownian motion and SLE curves arise as continuum limits of random walks and interfaces.",,,,
