id,label,side,type,description,x,y
topic:topic-01,Topic 1: K-groups and Cohomology,left,topic,K-groups and Cohomology,0,0
topic:topic-02,Topic 2: Moduli Spaces in Arithmetic and Geometry,left,topic,Moduli Spaces in Arithmetic and Geometry,0,100
topic:topic-03,Topic 3: Models and Universes,left,topic,Models and Universes,0,200
topic:topic-04,Topic 4: Groups and Actions,left,topic,Groups and Actions,0,300
topic:topic-05,"Topic 5: Curvature, Shape and Global Analysis",left,topic,"Curvature, Shape and Global Analysis",0,400
topic:topic-06,Topic 6: Singularities and Partial Differential Equations,left,topic,Singularities and Partial Differential Equations,0,500
topic:topic-07,Topic 7: Field Theory and Randomness,left,topic,Field Theory and Randomness,0,600
topic:topic-08,Topic 8: Random Discrete Structures and Their Limits,left,topic,Random Discrete Structures and Their Limits,0,700
topic:topic-09,Topic 9: Multiscale Processes and Effective Behaviour,left,topic,Multiscale Processes and Effective Behaviour,0,800
topic:topic-10,Topic 10: Deep Learning and Surrogate Methods,left,topic,Deep Learning and Surrogate Methods,0,900
term:adeles,Adeles,right,term,"The adele ring $\mathbb{A}_K$ of a number field $K$ is the restricted product of all completions $K_v$ (archimedean and non-archimedean), encoding local-global arithmetic simultaneously. It is a locally compact topological ring central to modern numb…",-200,62.0
term:algebraic-k-theory,Algebraic K-theory,right,term,"Algebraic K-theory assigns a sequence of abelian groups $K_n(R)$ to a ring $R$, generalising classical invariants such as the Grothendieck group $K_0$ and the Whitehead group $K_1$. It connects algebraic topology, number theory, and geometric topolog…",-200,-38.0
term:amenable-group,Amenable group,right,term,"A locally compact group $G$ is amenable if it admits a left-invariant mean on $L^\infty(G)$, equivalently if it satisfies the Følner condition. Amenability governs fixed-point properties, operator-algebraic approximation, and the Baum–Connes conjectu…",-200,262.0
term:assembly-map,Assembly map,right,term,The assembly map $\mu\colon K_*^G(\underline{E}G) \to K_*(C^*_r G)$ relates the equivariant K-homology of the classifying space for proper actions to the K-theory of the reduced group C*-algebra. It is the central object in the Baum–Connes and Farrel…,-200,-26.0
term:atiyah-singer-index-theorem,Atiyah–Singer index theorem,right,term,"The Atiyah–Singer index theorem equates the analytical index of an elliptic differential operator $D$ on a compact manifold with a topological index computed from characteristic classes. It unifies the Gauss–Bonnet theorem, Hirzebruch signature theor…",-200,362.0
term:borel-conjecture,Borel conjecture,right,term,The Borel conjecture states that two closed aspherical manifolds with isomorphic fundamental groups are homeomorphic. It follows from the Farrell–Jones conjecture and is an analogue of Mostow rigidity for non-positively curved manifolds.,-200,-14.0
term:brownian-motion,Brownian motion,right,term,"Brownian motion $\{B_t\}_{t\ge 0}$ is the canonical continuous-path Gaussian process with independent stationary increments $B_t - B_s \sim \mathcal{N}(0,t-s)$. It underpins stochastic calculus, parabolic PDEs via the Feynman–Kac formula, and the con…",-200,562.0
term:characteristic-class,Characteristic class,right,term,"Characteristic classes are cohomological invariants of vector bundles: Chern classes $c_i(E)\in H^{2i}(X;\mathbb{Z})$, Pontryagin classes $p_i(E)\in H^{4i}(X;\mathbb{Z})$, and the Euler class. They appear in the Atiyah–Singer index theorem and in the…",-200,374.0
term:classifying-space,Classifying space,right,term,"The classifying space $BG$ of a topological group $G$ is the base of the universal principal $G$-bundle $EG \to BG$; homotopy classes of maps $X \to BG$ classify principal $G$-bundles over $X$. For discrete groups, $BG = K(G,1)$ is an Eilenberg–Mac L…",-200,-2.0
term:cobordism,Cobordism,right,term,"Two closed $n$-manifolds $M$, $N$ are cobordant if there exists a compact $(n+1)$-manifold $W$ with $\partial W = M \sqcup N$. Cobordism rings, both oriented and unoriented, are computed by Thom's theorem and play a role in surgery theory and topolog…",-200,74.0
term:coarse-geometry,Coarse geometry,right,term,"Coarse geometry studies metric spaces up to quasi-isometry and large-scale equivalence, ignoring local structure. The coarse Baum–Connes conjecture, formulated in this setting, implies injectivity of the assembly map for groups with finite asymptotic…",-200,274.0
term:controlled-topology,Controlled topology,right,term,"Controlled topology studies maps and homotopies that are ""small"" with respect to a given control map to a metric space, providing a technical framework for surgery and h-cobordism theorems in the non-simply-connected setting. It underpins the proof o…",-200,10.0
term:curvature,Curvature,right,term,"Curvature measures the deviation of a geometric object from being flat: sectional curvature $K(\sigma)$ for Riemannian manifolds, Ricci curvature $\mathrm{Ric}$, and scalar curvature $R = \mathrm{tr}(\mathrm{Ric})$. Sign conditions on curvature contr…",-200,86.0
